Country_code,Country,DESIGN,Designation,DOMAIN_CODE,Domain,MEASURE_CODE,Measure,Year
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,1970
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,1980
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,1985
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,1990
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,1995
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2000
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2001
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2002
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2003
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2004
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2005
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2006
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2007
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2008
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2009
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2010
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2011
DEU,Germany,ALL_INC_POINTS,"All, including data recorded as points",MARINE,Marine,PCNT,Percent of total land/EEZ area,2012
